Arctopsyche sp. AA,AAアミメシマトビケラ
Palaeoagraecia philippina,ボルネオヒサゴクサキリ
Atylotus horvathi,ホルバートアブ
Microvelia horvathi,ホルバートケシカタビロアメンボ
Oosternum horni,ホルンケシガムシ
Platysoma horni,ホルンナガエンマムシ
Falsomordellistena konoi yakushimaensis,ホルンヒメハナノミ
Simulium horokaense,ホロカアシマダラブユ
Poltys pannuceus,ボロゲホウグモ
Eusphalerum poroshiriense,ポロシリハナムグリヨツメハネカクシ
Repomucenus virgis,ホロヌメリ
Schoepfia jasminodora,ボロボロノキ
Holopedium gibberum,ホロミジンコ
Gentiana triflora var.japonica f.horomuiensis,ホロムイリンドウ
Pontogeneia stocki,ホンアゴナガヨコエビ
Osmolindsaea odorata,ホングウシダ
Ampedus honguanus,ホングウチビクロコメツキ
Xysticus atrimaculatus,ホンクロボシカニグモ
Derispia maculipennis,ホンクロホシテントウゴミムシダマシ
Sciaphila nana,ホンゴウソウ
Shaogomphus postocularis,ホンサナエ
Rhododendron japonoheptamerum var.hondoense,ホンシャクナゲ
Micromys minutus hondonis,ホンシュウカヤネズミ
Chorthippus supranimbus supranimbus,ホンシュウクモマヒナバッタ
Cercyon unipustulatus,ホンシュウケシガムシ
Leptusa honshuica,ホンシュウコケホソハネカクシ
Cervus nippon centralis,ホンシュウジカ
Crocidura dsinezumi chisai,ホンシュウジネズミ
Ochthebius japonicus,ホンシュウセスジダルマガムシ
Malthodes ohbayashii,ホンシュウチビジョウカイ
Macroeubria similis,ホンシュウチビマルヒゲナガハナノミ
Sorex shinto shinto,ホンシュウトガリネズミ
Phaonia honshuensis,ホンシュウトゲアシイエバエ
Urotrichus talpoides hondonis,ホンシュウヒミズ
Tettigoniopsis kurosawai,ホンシュウフタエササキリモドキ
Chydaeus shibatai,ホンシュウフトゴモクムシ
Goniophyto honshuensis,ホンシュウホソニクバエ
Eusphalerum bonjuense,ボンジュサンハナムグリヨツメハネカクシ
Orthotomicus suturalis,ホンスンキクイムシ
Psittacula krameri,ホンセイインコ
Chironomus nippodorsalis,ホンセスジユスリカ
Labroides dimidiatus,ホンソメワケベラ
Eochelidium lenorostralum,ボンタソコエビ
Urena lobata ssp.sinuata,ボンテンカ
Strangalomorpha tenuis aenescens,ホンドアオバホソハナカミキリ
Plectrura metalica yoshihiroi,ホンドアカガネカミキリ
Ampedus ainu hondoensis,ホンドアカコメツキ
Apodemus speciosus speciosus,ホンドアカネズミ
Mustela itatsi itatsi,ホンドイタチ
Mustela erminea nippon,ホンドオコジョ
Mycetochara mimica,ホンドカタモンヒメクチキムシ
Vulpes vulpes japonica,ホンドキツネ
Persicaria pubescens,ボントクタデ
Stenochinus bacillus bacillus,ホンドクビカクシゴミムシダマシ
Stenochinus bacillus hiroshii,ホンドクビカクシゴミムシダマシ御蔵島亜種
Crossocerus uchidai hondonis,ホンドクラゲギングチ
Upinella fuliginosa,ホンドクロオオクチキムシ
Paracardiophorus nakanei hondoensis,ホンドコハナコメツキ
Zanclognatha curvilinea,ホンドコブヒゲアツバ
Macaca fuscata fuscata,ホンドザル
Nyctereutes procyonoides viverrinus,ホンドタヌキ
Laena rotundicollis,ホンドチビヒサゴゴミムシダマシ
Pseudomalus djozanus hondonis,ホンドツヤセイボウ
Martes melampus melampus,ホンドテン
Borboresthes cruralis,ホンドトビイロクチキムシ
Tetraphyllus paykullii,ホンドニジゴミムシダマシ
Rhagium femorale,ホンドハイイロハナカミキリ
Pogonocherus fasciculatus hondoensis,ホンドヒメシラオビカミキリ
Apodemus argenteus argenteus,ホンドヒメネズミ
Nicrophorus investigator latifasciatus,ホンドヒロオビモンシデムシ
Allecula tenuis,ホンドホソアカクチキムシ
Empicoris maeharai,ホンドマダラカモドキサシガメ
Pteromys momonga,ホンドモモンガ
Pteromys momonga,ホンドモモンガ
Mercenaria mercenaria,ホンビノスガイ
Halichoeres tenuispinis,ホンベラ
Campuloclinium macrocephalum,ポンポンアザミ
Trechiama parvus,ポンポンメクラチビゴミムシ
Gnathopogon caerulescens,ホンモロコ
Carex pisiformis,ホンモンジスゲ
Pagurus filholi,ホンヤドカリ
Carabus maacki aquatilis,マークオサムシ
Sarcophaga magensi,マーゲンスニクバエ
Trachurus japonicus,マアジ
Conger myriaster,マアナゴ
Macrophya marlatti,マーラットクロハバチ
Variimorda maiae maiae,マイキンオビハナノミ
Variimorda maiae shoui,マイキンオビハナノミ母島亜種
Xylota meigeniana,マイゲンコモンハラナガハナアブ
Sympetrum kunckeli,マイコアカネ
Stenus maiko,マイコオチバメダカハネカクシ
Maikona jezoensis jezoensis,マイコトラガ
Maikona jezoensis tenebricosa,マイコトラガ屋久島亜種
Parioglossus lineatus,マイコハゼ
Montiludia nemorivaga,マイコハマダラミバエ
Clubiona rostrata,マイコフクログモ
Platanthera mandarinorum ssp.mandarinorum var.macrocentron,マイサギソウ
Maianthemum dilatatum,マイヅルソウ
Glycera americana,マイヅルチロリ
Arisaema heterophyllum,マイヅルテンナンショウ
Atypopenaeus stenodactylus,マイマイエビ
Lymantria dispar japonica,マイマイガ
Carabus blaptoides blaptoides,マイマイカブリ
Carabus blaptoides fortunei,マイマイカブリ粟島亜種
Carabus blaptoides brevicaudus,マイマイカブリ隠岐亜種
Carabus blaptoides oxuroides,マイマイカブリ関東・中部地方亜種
Carabus blaptoides capito,マイマイカブリ佐渡島亜種
Carabus blaptoides babaianus,マイマイカブリ東北地方南部亜種
Carabus blaptoides viridipennis,マイマイカブリ東北地方北部亜種
Carabus blaptoides rugipennis,マイマイカブリ北海道亜種
Lymantria dispar hokkaidoensis,マイマイガ道東道北亜種
Osmia orientalis,マイマイツツハナバチ
Limnophora umbra,マイマイミズギワイエバエ
Sardinops melanostictus,マイワシ
Agenioideus lascivus,マエアカクモバチ
Cautires zahradniki zahradniki,マエアカクロベニボタル
Leucapamea kawadai,マエアカシロヨトウ
Palpita nigropunctalis,マエアカスカシノメイガ
Aethalotus nigriventris,マエアカナガカメムシ
Aloa lactinea,マエアカヒトリ
Traminda aventiaria,マエアカヒメシャク
Mordellina callichroa,マエアカヒメハナノミ
Termioptycha eucarta,マエアカフトメイガ
Luperomorpha birmanica,マエアカホソトビハムシ
Omiodes indicatus,マエウスキノメイガ
Scirpophaga parvalis,マエウスグロオオメイガ
Dipha aphidivora,マエウスジロマダラメイガ
Hyposada hirashimai,マエウストガリコヤガ
Paliga ochrealis,マエウスモンキノメイガ
Eugraphe sigma,マエウスヤガ
Caccobius jessoensis,マエカドコエンマコガネ
Aphrophora pectoralis,マエキアワフキ
Plesiomorpha flaviceps,マエキオエダシャク
Indotipula yamata yamata,マエキガガンボ
Agnidra scabiosa scabiosa,マエキカギバ
Agnidra scabiosa fixseni,マエキカギバ台湾亜種
Caracladus pauperulus,マエキグモ
Allobaccha amphithoe,マエキコシボソハナアブ
Sitochroa umbrosalis,マエキシタグロノメイガ
Lomographa inamata,マエキシロエダシャク
Pseudocatharylla simplex,マエキツトガ
Xenosepsis fukuharai,マエキツヤホソバエ
Anoratha costalis,マエキトガリアツバ
Nothomiza formosa,マエキトビエダシャク
Dysstroma korbi,マエキナカジロナミシャク
Herpetogramma rude,マエキノメイガ
Scopula nigropunctata imbella,マエキヒメシャク
Scopula nigropunctata subimbella,マエキヒメシャク北海道亜種
Oncopsis burjatica,マエキヒロズヨコバイ
Arthrolips oblongus,マエキミジンムシ
Syngamia falsidicalis,マエキモンクロノメイガ
Pyrausta pullatalis,マエキモンノメイガ
Xestia stupenda,マエキヤガ
Iragaodes nobilis,マエキリンガ
Sadoletus valdezi,マエグロキノウエナガカメムシ
Tenthredo rufonotalis,マエグロコシホソハバチ
Tachyura tosta,マエグロコミズギワゴミムシ
Corgatha semiobsoleta,マエグロシマコヤガ
Phlogophora albovittata,マエグロシラオビアカガネヨトウ
Tritoma centralis,マエグロチビオオキノコムシ
Cataprosopus monstrosus,マエグロツヅリガ
Ligyra similis,マエグロツリアブ
Tipula nigrocostata,マエグロノコギリガガンボ
Chymomyza costata,マエグロハシリショウジョウバエ
Zoraida pterophoroides,マエグロハネナガウンカ
Ameletus costalis,マエグロヒメフタオカゲロウ
Paramesus japonicus,マエグロヒラタヨコバイ
Nephrotoma sinensis,マエグロホソガガンボ
Conilepia nigricosta nigricosta,マエグロホソバ
Lymantria xylina xylina,マエグロマイマイ
Lymantria xylina nobunaga,マエグロマイマイ本州亜種
Agrotis scotacra,マエグロヤガ
Lophops catinata,マエジマアシブトウンカ
Mythimna pallidicosta,マエジロアカフキヨトウ
Hypostrotia cinerea,マエジロアツバ
Handianus limbifer,マエジロイチモンジヨコバイ
Macrosteles albicostalis,マエジロウスバヨコバイ
Euzophera watanabei,マエジロオオマダラメイガ
Kolla atramentaria,マエジロオオヨコバイ
Pseudacrobasis nankingella,マエジロギンマダラメイガ
Assara funerella,マエジロクロマダラメイガ
Notodonta albicosta,マエジロシャチホコ
Pseudocatharylla infixella,マエジロツトガ
Tethea albicostata,マエジロトガリバ
Macropsis costalis,マエジロハトムネヨコバイ
Dryadodacryma albicostale,マエジロハマダラミバエ
Phycitodes subcretacellus,マエジロホソマダラメイガ
Emmalocera venosella,マエジロホソメイガ
Edulicodes inoueellus,マエジロマダラメイガ
Rivula curvifera,マエシロモンアツバ
Nycteola costalis,マエシロモンキノカワガ
Diathraustodes amoenialis,マエシロモンノメイガ
Ochropleura plecta glaucimacula,マエジロヤガ
Albicostella albicosta,マエジロヨコバイ
Calyptra orthograpta,マエスジエグリバ
Saurida macrolepis,マエソ
Hockeria maetai,マエタアシブトコバチ
Tabanus maedai,マエダアブ
Asiopodabrus maedai,マエダクビボソジョウカイ
Cerceris pedetes,マエダテツチスガリ
Coelioxys ducalis,マエタトガリハナバチ
Mordellistena maedai,マエダヒメハナノミ
Andrena maetai,マエタヒメハナバチ
Hylaeus maetai,マエタメンハナバチ
Acolutha pictaria shirozui,マエチャナミシャク
Rhesala imparata,マエテンアツバ
Eupithecia costiconvexa,マエテンカバナミシャク
Condica fuliginosa,マエテンヨトウ
Sernokorba pallidipatellis,マエトビケムリグモ
Ategumia adipalis,マエトビノメイガ
Eupithecia niphonaria,マエナミカバナミシャク
Lacon maeklinii maenamii,マエナミサビコメツキ
Sciota maenamii,マエナミマダラメイガ
Rhadinomerus maebarai,マエバラナガクチカクシゾウムシ
Panorpa gokaensis gokaensis,マエフタスジトゲシリアゲ
Herbulotia agilata,マエフタテンナミシャク
Phrynocaria congener,マエフタホシテントウ
Prolophota trigonifera,マエフタモンアツバ
Nipponasura sanguinea,マエベニコケガ
Tethea trifolium,マエベニトガリバ
Paliga minnehaha,マエベニノメイガ
Idaea obliteraria,マエベニヒメシャク
Aroana baliensis insularis,マエベニモンツマキリアツバ
Diomea jankowskii,マエヘリモンアツバ
Tipasa renalis,マエホシツマキリアツバ
Pyrrhidivalva sordida,マエホシヨトウ
Limnephilus stigma,マエモンウスバキトビケラ
Triphosa sericata,マエモンオオナミシャク
Heterarmia costipunctaria,マエモンキエダシャク
Nola japonibia,マエモンコブガ
Chorsia japonica,マエモンコヤガ
Nicrophorus maculifrons,マエモンシデムシ
Tegulifera bicoloralis,マエモンシマメイガ
Geometra ussuriensis,マエモンシロスジアオシャク
Pangrapta costinotata,マエモンツマキリアツバ
Aripana cribrata,マエモンノメイガ
Venusia semistrigata semistrigata,マエモンハイイロナミシャク
Venusia semistrigata expressa,マエモンハイイロナミシャク本州亜種
Dicranomyia consimilis japonica,マエモンヒメガガンボ
Hemipyxis shirakii,マエモンヒラタノミハムシ
Dysaethria erasaria,マエモンフタオ
Oxyporus imitator,マガイオオキバハネカクシ
Mimatheta nipponensis,マガイヒメハネカクシ
Syrphus dubius,マガイヒラタアブ
Magallana gigas,マガキ
Drosophila sternopleuralis,マガタマショウジョウバエ
Prionospio multibranchiata,マガタマスピオ
Cylindera ovipennis,マガタマハンミョウ
Amiota sigma,マガタマメマトイ
Syrphus annulifemur,マガタマモンヒラタアブ
Miaromima kobesi,マガタマリンガ
Phintella arenicolor,マガネアサヒハエトリ
Anas platyrhynchos,マガモ
Avena sativa,マカラスムギ
Allomyia curvata,マガリイズミコエグリトビケラ
Bomolocha mandarina,マガリウスヅマアツバ
Agrypnia incurvata,マガリウンモントビケラ
Protonemura curvata,マガリオナシカワゲラ
Palaeagapetus flexus,マガリカメノコヒメトビケラ
Nygmia curvata,マガリキドクガ
Diachrysia leonina,マガリキンウワバ
Protodeltote wiscotti,マガリスジコヤガ
Hypenodes curvilineus,マガリミジンアツバ
Amiota sinuata,マガリメマトイ
Anasimyia lunulata,マガリモンハナアブ
Eupeodes luniger,マガリモンヒラタアブ
Ablabesmyia makarchenkoi,マカルチェンコトゲヒメユスリカ
Pseudopleuronectes herzensteini,マガレイ
Anser albifrons,マガン
Makiptyelus dimorphus,マキアワフキ
Lespedeza virgata,マキエハギ
Drosophila curviceps,マキオショウジョウバエ
Pseudolimnophila telephallus,マキオホソヒメガガンボ
Amiota curvistyla,マキオメマトイ
Phascolionidae,マキガイホシムシ科
Platycheirus ambiguus,マキゲヒラアシヒラタアブ
Laemodonta monilifera,マキスジコミミガイ
Pilumnopeus makianus,マキトラノオガニ
Rhyacophila makiensis,マキナガレトビケラ
Viola violacea var.makinoi,マキノスミレ
Locustella lanceolata,マキノセンニュウ
Myospila laevis,マキバイエバエ
Nephrotoma minuticornis,マキバガガンボ
Lygus rugulipennis,マキバカスミカメ
Anthus pratensis,マキバタヒバリ
Sarcophaga sexpunctata,マキバニクバエ
Aphodius pratensis,マキバマグソコガネ
Glipa sp.,マキハラオビハナノミ
Glyphonyx makiharai,マキハラクチボソコメツキ
Araeocerodes makiharai,マキハラノミヒゲナガゾウムシ
Clubiona cirrosa,マキヒゲフクログモ
Peltastica amurensis,マキムシモドキ
Leucotina dianae,マキモノガイ
Daphnia ambigua,マギレミジンコ
Glycera macintoshi,マキントシチロリ
Isognomon ephippium,マクガイ
Coccinula crotchi,マクガタテントウ
Prionospio paradisea,マクスピオ
Pachysternum haemorrhoum,マグソガムシ
Nicagus japonicus,マグソクワガタ
Aphodius rectus,マグソコガネ
Azelia monodactyla,マグソチビフンバエ
Hydrotaea parva,マグソトゲアシメマトイ
Uranotaenia macfarlanei,マクファレンチビカ
Morus alba,マグワ
Cucumis melo var.makuwa,マクワウリ
Simulium yonagoense makunbei,マクンベツヤガシラブユ
Cervus nippon mageshimae,マゲシカ
Pseudopleuronectes yokohamae,マコガレイ
Peregrinamor ohshimai,マゴコロガイ
Mizodorcatoma magolyakushi,マゴジャクシミゾキノコシバンムシ
Platycephalus sp.2,マゴチ
Zizania latifolia,マコモ
Asiopodabrus masaakii,マサアキクビボソジョウカイ
Thylodrias contractus,マサカカツオブシムシ
Coelotes kintaroi,マサカリヤチグモ
Euonymus japonicus,マサキ
Ypthima masakii,マサキウラナミジャノメ
Spheniscosomus masakii,マサキオオクシコメツキ
Agrilus euonymi,マサキナガタマムシ
Sawadapenthes amami masakii,マサキホソコメツキ
Euploea tulliolus polita,マサキルリマダラフィリピン亜種
Euploea tulliolus koxinga,マサキルリマダラ台湾亜種
Coeliccia flavicauda masakii,マサキルリモントンボ
Nereis multignatha,マサゴゴカイ
Pseudogobius masago,マサゴハゼ
Cerobothrium lituscolum,マサゴミギワバエ
Asiopodabrus masatoi,マサトクビボソジョウカイ
Scomber japonicus,マサバ
Tabanus masamitsui,マサミツアブ
Eleocharis tetraquetra,マシカクイ
Corbicula leana,マシジミ
Pterostichus mashidai,マシダナガゴミムシ
Eupithecia masuii,マスイカバナミシャク
Gari elongata,マスオガイ
Carex gibba,マスクサ
Ondatra zibethicus,マスクラット
Ondatra zibethicus,マスクラット
Suzuka masuzoi,マスゾウメクラチビゴミムシ
Lamprodila vivata,マスダクロホシタマムシ
Malacopsephenoides japonicus,マスダチビヒラタドロムシ
Eusphalerum kaiji,マストミハナムグリヨツメハネカクシ
Oncorhynchus tschawytscha,マスノスケ
Pterostichus masumotoi,マスモトナガゴミムシ
Thiania suboppressa,マスラオハエトリ
Pagrus major,マダイ
Rumex madaio,マダイオウ
Phyllostachys reticulata,マダケ
Pagyda quinquelineata,マタスジノメイガ
Actinidia polygama,マタタビ
Ditrema temminckii pacificum,マタナゴ
Pasiphila hypopyrrha,マダラアオナミシャク
Macrophya annulitibia,マダラアシクロハバチ
Ectatorhinus adamsii,マダラアシゾウムシ
Mesorhaga nebulosus,マダラアシナガバエ
Psenulus maculipes,マダラアシマエダテバチ
Ranatra longipes,マダラアシミズカマキリ
Awafukia nawae,マダラアワフキ
Kitanola uncula,マダライラガ
Acronicta subornata,マダラウスズミケンモン
Hydrelia bicauliata,マダラウスナミシャク
Dendroleon pupillaris,マダラウスバカゲロウ
Ericeia sp.,マダラウスムラサキクチバ
Brachyramphus perdix,マダラウミスズメ
Hydrophis cyanocinctus,マダラウミヘビ
Harmothoe imbricata,マダラウロコムシ
Discomyza maculipennis,マダラエクボミギワバエ
Plusiodonta casta,マダラエグリバ
Saurida gracilis,マダラエソ
Cryptalaus sordidus,マダラオオウバタマコメツキ
Teloleuca kusnezowi,マダラオオミズギワカメムシ
Acrops higonia,マダラオオメコクヌスト
Dicranota sibirica nebulipennis,マダラオトヒメガガンボ
Tipula coquilletti,マダラガガンボ
Callicilix abraxata abraxata,マダラカギバ
Taeniogonalos maga,マダラカギバラバチ
Demotina fasciculata,マダラカサハラハムシ
Cyphodemidea saundersi,マダラカスミカメ
Eupithecia tantilloides,マダラカバスジナミシャク
Diestrammena japonica,マダラカマドウマ
Oedemera venosa,マダラカミキリモドキ
Empicoris rubromaculatus,マダラカモドキサシガメ
Acicnemis maculaalba,マダラカレキゾウムシ
Coptodera eluta,マダラキノコゴミムシ
Tetratoma japonica,マダラキノコムシダマシ
Cryphia sugitanii,マダラキノコヨトウ
Dimorphicosmia variegata,マダラキボシキリガ
Mythimna flavostigma,マダラキヨトウ
Polychrysia splendida,マダラキンウワバ
Cryptorhynchus electus,マダラクチカクシゾウムシ
Oruza stragulata,マダラクルマコヤガ
Heterothera serrataria,マダラクロオビナミシャク
Aesalus asiaticus asiaticus,マダラクワガタ
Aesalus asiaticus sawaii,マダラクワガタ屋久島亜種
Microvelia reticulata,マダラケシカタビロアメンボ
Smicronyx madaranus,マダラケシツブゾウムシ
Bembidion articulatum,マダラケシミズギワゴミムシ
Tinginotum takahashii,マダラケブカカスミカメ
Cartorhynchites singularis,マダラケブカチョッキリ
Rhantaticus congestus,マダラゲンゴロウ
Cardiodactylus guttulus,マダラコオロギ
Haliplus sharpi,マダラコガシラミズムシ
Mycetophagus irroratus,マダラコキノコムシ
Rhabdoblatta guttigera,マダラゴキブリ
Baccha maculata,マダラコシボソハナアブ
Trichopteryx ussurica,マダラコバネナミシャク
Mimomyia elegans,マダラコブハシカ
Mesosa poecila,マダラゴマフカミキリ
Harpalus pallidipennis,マダラゴモクムシ
Deltote nemorum,マダラコヤガ
Eumida sanguinea,マダラサシバ
Trypoxylon rufimaculatum,マダラジガバチモドキ
Strongylogaster macula,マダラシダハバチ
Hydaticus thermonectoides,マダラシマゲンゴロウ
Drosophila repleta,マダラショウジョウバエ
Hesperumia silvicola,マダラシロエダシャク
Pterodroma inexpectata,マダラシロハラミズナギドリ
Glyphodes pulverulentalis,マダラシロモンノメイガ
Plexippoides annulipedis,マダラスジハエトリ
Dianemobius nigrofasciatus,マダラスズ
Isometopus mahal,マダラダルマカメムシ
Laevicardium undatopictum,マダラチゴトリガイ
Agathia lycaenaria chizumon,マダラチズモンアオシャク
Agathia lycaenaria reducta,マダラチズモンアオシャク伊豆諸島亜種
Agathia lycaenaria samuelsoni,マダラチズモンアオシャク沖縄亜種
Agathia lycaenaria subreducta,マダラチズモンアオシャク男女群島亜種
Monosynamma bohemanni,マダラチビカスミカメ
Prodrasterius agnatus,マダラチビコメツキ
Circus melanoleucos,マダラチュウヒ
Adomerus variegatus,マダラツチカメムシ
Ozotomerus amamianus,マダラツツヒゲナガゾウムシ
Callopistria repleta,マダラツマキリヨトウ
Goniurosaurus kuroiwae orientalis,マダラトカゲモドキ
Lygaeus equestris,マダラナガカメムシ
Sympetrum maculatum,マダラナニワトンボ
Neserigone torquipalpis,マダラナンキングモ
Phytobaenus amabilis scapularis,マダラニセクビボソムシ
Phytobaenus amabilis amamiensis,マダラニセクビボソムシ奄美亜種
Acrodontis yazakii,マダラノコメエダシャク
Orchestes nomizo,マダラノミゾウムシ
Xya riparia,マダラノミバッタ
Adosomus mongolicus,マダラハスジゾウムシ
Aiolopus thalassinus tamulus,マダラバッタ
Pamendanga matsumurae,マダラハネナガウンカ
Opanthribus tessellatus,マダラヒゲナガゾウムシ
Episteira eupena,マダラヒゲブトナミシャク
Ficedula hypoleuca,マダラヒタキ
Metalimnobia quadrimaculata,マダラヒメガガンボ
Steatoda triangulosa,マダラヒメグモ
Litargops maculosus,マダラヒメコキノコムシ
Aphodius madara,マダラヒメスジマグソコガネ
Baris scolopacea,マダラヒメゾウムシ
Diomma pulchra,マダラヒメヨコバイ
Pamerarma distanti,マダラヒョウタンナガカメムシ
Oncopsis tristis,マダラヒロズヨコバイ
Clubiona deletrix,マダラフクログモ
Basitropis nitidicutis,マダラフトヒゲナガゾウムシ
Dixa longistyla,マダラホソカ
Trachypholis variegata,マダラホソカタムシ
Araeopteron fragmentum,マダラホソコヤガ
Orthocis ornatus,マダラホソツツキノコムシ
Maliarpha borealis,マダラホソメイガ
Rhodoneura vittula,マダラマドガ
Propalticus morimotoi,マダラミジンキスイ
Yaginumena maculosa,マダラミジングモ
Mesovelia japonica,マダラミズカメムシ
Elophila interruptalis interruptalis,マダラミズメイガ
Elophila interruptalis ezoensis,マダラミズメイガ北海道亜種
Eucarta amethystina,マダラムラサキヨトウ
Mechistocerus nipponicus,マダラメカクシゾウムシ
Phortica okadai,マダラメマトイ
Pherbina intermedia,マダラヤチバエ
Scoparia latipennis,マダラヤマメイガ
Aeshna mixta soneharai,マダラヤンマ
Psammotettix striatus,マダラヨコバイ
Xenapamea pacifica,マダラヨトウ
Pterygoplichthys disjunctivus,マダラロリカリア
Trechiama cuspidatus,マチオクメクラチビゴミムシ
Dioryctria pryeri,マツアカマダラメイガ
Hylobius haroldi,マツアナアキゾウムシ
Rhadinopus confinis,マツアラハダクチカクシゾウムシ
Aphrophora flavipes,マツアワフキ
Hydroptila phenianica,マツイヒメトビケラ
Kurasawatrechus matsuii,マツイメクラチビゴミムシ
Scoparia matsuii,マツイヤマメイガ
Pselaphogenius patrius,マツウラヒゲナガアリヅカムシ
Deileptenia ribeata,マツオオエダシャク
Macrorhyncolus crassiusculus,マツオオキクイゾウムシ
Philoponella prominens,マツガエウズグモ
Pronodularia cf. japanensis 1,マツカサガイ広域分布種
Pronodularia cf. japanensis 2,マツカサガイ東海固有種
Shirahoshizo coniferae,マツカサシラホシゾウムシ
Scirpus mitsukurianus,マツカサススキ
Irus mitis,マツカゼガイ
Boenninghausenia albiflora var.japonica,マツカゼソウ
Dendrolimus spectabilis,マツカレハ
Verasper moseri,マツカワ
Orthotomicus proximus,マツカワノキクイムシ
Pissodes nitidus,マツキボシゾウムシ
Panolis japonica,マツキリガ
Stenoscelis gracilitarsis,マツクチブトキクイゾウムシ
Taxillus kaempferi var.kaempferi,マツグミ
Sphinx morio morio,マツクロスズメ
Sphinx morio arestus,マツクロスズメ対馬亜種
Sphinx morio inouei,マツクロスズメ北海道亜種
Culicoides comosioculatus,マツゲヌカカ
Oxyurichthys ophthalmonema,マツゲハゼ
Tinginotum pini,マツケブカカスミカメ
Aradus czerskii,マツコヒラタカメムシ
Xenomimetes destructor,マツコブキクイゾウムシ
Epuraea fungicola,マツコブヒラタケシキスイ
Ernobius mollis,マツザイシバンムシ
Pteris nipponica,マツサカシダ
Tabanus matsuzawai,マツザワアブ
Lycosa matsushitai,マツシタコモリグモ
Sericania matusitai,マツシタチャイロコガネ
Anaglyptus matsushitai,マツシタトラカミキリ
Pidonia matsushitai,マツシタヒメハナカミキリ
Cirsium sendaicum,マツシマアザミ
Decorifer matusimanus,マツシマコメツブ
Lobotes surinamensis,マツダイ
Walckenaeria mayumiae,マツダエボシヌカグモ
Pyrestes yayeyamensis,マツダクスベニカミキリ
Psychodocha fungicola,マツタケチョウバエ
Trox matsudai,マツダコブスジコガネ
Aculepeira matsudae,マツダタカネオニグモ
Telephae matsudai,マツダヒメクモゾウムシ
Ochronanus pallidus,マツチャイロキクイゾウムシ
Kasumiphylus kyushuensis,マツトビカスミカメ
Pachyrhinus scutellaris,マツトビゾウムシ
Suaeda glauca,マツナ
Platysoma pini,マツナガエンマムシ
Lycocerus matsunagai,マツナガジョウカイ
Tritoma sasajii,マツナガチビオオキノコムシ
Acantholyda sasakii,マツノイトカケハバチ
Hylurgops glabratus,マツノカバイロキクイムシ
Tomicus piniperda,マツノキクイムシ
Hylastes ater,マツノクロキクイムシ
Tomicus minor,マツノコキクイムシ
Conogethes pinicolalis,マツノゴマダラノメイガ
Shirahoshizo insidiosus,マツノシラホシゾウムシ
Dioryctria sylvestrella,マツノシンマダラメイガ
Hylurgops interstitialis,マツノスジキクイムシ
Orthotomicus angulatus,マツノツノキクイムシ
Ips multidentatus,マツノトゲキクイムシ
Hylurgus ligniperda,マツノネノキクイムシ
Alloeotomus simplus,マツノヒゲボソカスミカメ
Hylastes plumbeus,マツノヒロスジキクイムシ
Hylastes attenuatus,マツノホソキクイムシ
Hylastes parallelus,マツノホソスジキクイムシ
Monochamus alternatus endai,マツノマダラカミキリ
Dioryctria abietella,マツノマダラメイガ
Ips acuminatus,マツノムツバキクイムシ
Eleocharis acicularis var.longiseta,マツバイ
Nuttallanthus canadensis,マツバウンラン
Cellana nigrolineata,マツバガイ
Lampranthus spectabilis,マツバギク
Carex biwensis,マツバスゲ
Cyclospermum leptophyllum,マツバゼリ
Euphorbia cyparissias,マツバトウダイ
Linum stelleroides,マツバニンジン
Helenium tenuifolium,マツバハルシャギク
Erigeron sp.,マツバヒメジョオン
Portulaca grandiflora,マツバボタン
Apamea remissa,マツバラシラクモヨトウ
Psilotum nudum,マツバラン
Pilophorus miyamotoi,マツヒョウタンカスミカメ
Aradus unicolor,マツヒラタカメムシ
Gastrodes grossipes japonicus,マツヒラタナガカメムシ
Cephalcia nigricoxae,マツヒラタハバチ
Schisandra repanda,マツブサ
Leptoglossus occidentalis,マツヘリカメムシ
Accoella akirai,マツマエメクラチビゴミムシ
Xenogryllus marmoratus marmoratus,マツムシ
Scabiosa japonica,マツムシソウ
Aphonoides japonicus,マツムシモドキ
Naratettix matsumurai,マツムラオビヒメヨコバイ
Eobia matsumurai,マツムラカミキリモドキ
Xylomya matsumurai,マツムラキアブモドキ
Cheilosia matsumurana,マツムラクロハナアブ
Tingis matsumurai,マツムラグンバイ
Bibio matsumurai,マツムラケバエ
Promatsumura nipponicum,マツムラコカゲロウ
Spilomyia permagna,マツムラナガハナアブ
Megachile matsumurai,マツムラハキリバチ
Matsumurania sapporensis,マツムラハマダラミバエ
Mallota rubripes,マツムラハラブトハナアブ
Silvius matsumurai,マツムラヒメアブ
Glipostenoda matsumurai,マツムラヒメハナノミ
Epeorus l-nigrum,マツムラヒラタカゲロウ
Pipiza inornata,マツムラヒラタハナアブ
Homoeosoma matsumurellum,マツムラマダラメイガ
Hylaeus matsumurai,マツムラメンハナバチ
Ceratophyllum demersum,マツモ（狭義）
Ceratophyllum demersum,マツモ（広義）
Tabanus matsumotoensis,マツモトアブ
Oxyptila matsumotoi,マツモトオチバカニグモ
Heterorotula multidentata,マツモトカイメン
Neoascia tenur,マツモトコシボソチビハナアブ
Trichopsenius matsumotoi,マツモトシロアリハネカクシ
Trechus matsumotoi,マツモトチビゴミムシ
Bristowia heterospinosa,マツモトハエトリ
